channel	video_id	title
Noel Yee	kN2h5i38Pp0	Vulcan Crew Teaser 2013 - Danielle Good and Noel Yee - Partner Poi
Noel Yee	vly-aWlS9fs	NOELTECH#53: Kevin and Jer Club Traps
Noel Yee	ApIgn77QMPY	NOELTECH#52:  One-Two-Three Poi Ideas
Noel Yee	jYDTpsSa0m0	#9: Fire Smoothie Contact Staff @ Flowshow 4
Noel Yee	KZNPKH2DL2o	Noel Yee Performance Reel 2012
Noel Yee	8GrOv2XkkUc	NOELTECH#50: Contact Staff Christmas 2012
Noel Yee	p6WgiC2ut-c	#8:  Strange and Noel Presents:  Partner Podpoi
Noel Yee	pnNusywKWrE	#7: Summer Tour 2012 Partner Poi- Michael Parisi and Noel
Noel Yee	xGnjzjPuNwY	NOELTECH#51: Contact Staff Ideas 2012
Noel Yee	Q2Am76uXI3k	#6: Joe and Robin Kingery -Partner Poi
Noel Yee	NpnyghzREro	NOELTECH#49: Contact Club Ideas 2012
Noel Yee	41lndupJJqE	NOELTECH#48: FIREDRUMS X
Noel Yee	DmdGwlae22M	NOELTECH#47:  IJA 2012 Winston-Salem
Noel Yee	XrEL9TS8eTI	#5: Foreways Project # 2 - Partner Poi - Jen Swan and Noel Yee
Noel Yee	2sYIGZYz6UE	#4:Kevin Axtell and Noel Yee Clubs
Noel Yee	Lf3Ud3DvCDA	NOELTECH#0: Foreways Project Rehearsal #1- Kate and Noel
Noel Yee	tAmUqDTRyEA	NOELTECH#46: Maiki Nope Hoops
Noel Yee	zty7PA8Odq8	#3: Jesse Bowen and Austin Odum Partner Poi
Noel Yee	MRgkIg4mbsw	NOELTECH#45: Spring Tech Report V.3
Noel Yee	1YgrZcKlXd4	#2: Ashley Bertling and Ellie Sorokin of Pyrotechniq
Noel Yee	yDq_DuUUOGc	NOELTECH#44: Spring Tech Report V.2- New and Old Partner Poi
Noel Yee	M3hcFcUngAw	#1: Vulcan Crew @ Flow Show 4
Noel Yee	RFBVo1yFGVI	NOELTECH#43:Spring Tech Report
Noel Yee	fnqwomzQmoQ	NOELTECH#42: Free Hand Rope Dart
Noel Yee	X0vdZichM28	NOELTECH#41:Poi Fishtails- IJA Tutorial Competition 2012
Noel Yee	H-cdh1pDhvI	Kinetic Fire 2012 Instructor- Noel Yee
Noel Yee	q7TPrzK5pT0	NOELTECH#40: Antispin Toroids
Noel Yee	0icBitGHetM	Flame Festival Instructors--  Noel Yee and Aileen Lawlor
Noel Yee	czcsCHM1VWA	NOELTECH#39: Simple Tech Poi Research
Noel Yee	xheCjuC0Qs0	NOELTECH#38: Occupy Wall Plane
Noel Yee	7Fa7wyVL7go	NOELTECH#36: NY Poi Convergence
Noel Yee	lJoPF0E3Qfw	NOELTECH#35: Megowans Megaboxes
Noel Yee	SAQ4DCry4HI	NOELTECH#34: Inspired Tracers with Poi
Noel Yee	fbdJOOkniF0	NOELTECH#33 VTG 2 Index 3/3  - Spin/Spin and Antispin/Antispin
Noel Yee	D1SP5IcoHTs	NOELTECH#37:  Noel Poi Solo @ Freakfusion Cabaret
Noel Yee	evUnR4God6Q	NOELTECH#32: VTG 2 Index 2/3 Poi Flowers
Noel Yee	gT6SKnBiZ1Q	NOELTECH#31: VTG 2 Index 1/3 Poi Flowers
Noel Yee	IHX0vnDzdV8	NOELTECH#30: Monkey Hooping with Simon Purdie
Noel Yee	RPpHdmn_APk	NOELTECH#29: FireDrums Tech Blog 2011
Noel Yee	_zkyCGoJ5t0	NOELTECH#28: Pottsville Puppyhammer
Noel Yee	AaF3jcBurLU	NOELTECH#27: Aileenbean Longstring Wand
Noel Yee	ZLLM2Qj4nUA	NOELTECH#26: Kate McCoy
Noel Yee	mIrfxKLSu0c	NOELTECH#25 Spring Tech Poi Report
Noel Yee	yb3OcquykL8	NOELTECH#24: Drew Brown Canes
Noel Yee	9u7FGJRIGOk	NOELTECH#23:  Buugeng at PLAY Immersion
Noel Yee	cbZ5oxqlRk8	NOELTECH#22: Hand Club Fishtails IJA Tutorial Contest 2011
Noel Yee	rlBKFhemT2w	NOELTECH#21: Stacks and Poi
Noel Yee	OESZl9_4J0U	NOELTECH#20:  TransitionTheory
Noel Yee	8uWOHxTmGPs	NOELTECH#19: Winter Poi
Noel Yee	vOeXqjrQKBs	NOELTECH#18: NY Christmas Poi
Noel Yee	SEEwhBopmj8	NOELTECH#17: Nicky Evers Poi
Noel Yee	BLmAzm1X0w8	NOELTECH#16: Doubles Manipulation
Noel Yee	Tm12UlmdpaM	NOELTECH#15: Cincy Poi
Noel Yee	Jsnu_PDlSZk	NOELTECH#14: Tankboy and Noel Tech Poi
Noel Yee	SZaXiQJlyxY	NOELTECH#13: Ballin' with Bri
Noel Yee	NnvY7xdEAys	NOELTECH#12: Pendulum Poi
Noel Yee	KSJnsBVTtl8	NOELTECH#11: Contact Juggling Awareness Day!
Noel Yee	qWeNgdEdfoM	NOELTECH#10: Tech Poi at the PropBox
Noel Yee	JN6WC0_cc6g	NOELTECH#9: Brian Thompson Hoops
